Compiled shader: ASESampleShaders/AnimatedFireShaderFunction, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTMAP_ON
Compiled shader: Legacy Shaders/Transparent/Cutout/VertexLit, pass: Caster, stage: all, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords FOG_EXP2 POINT
Compiled shader: Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords POINT
Compiled shader: Legacy Shaders/VertexLit, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN VERTEXLIGHT_ON
Compiled shader: Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Mobile/Particles/Additive, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: Mobile/Particles/Additive, pass: unnamed, stage: all, keywords FOG_EXP2
Compiled shader: Mobile/Particles/Additive, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Mobile/Particles/Alpha Blended, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: Mobile/Particles/Alpha Blended, pass: unnamed, stage: all, keywords FOG_EXP2
Compiled shader: Mobile/Particles/Alpha Blended, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Mobile/Unlit (Supports Lightmap), pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: Mobile/Unlit (Supports Lightmap), pass: unnamed, stage: all, keywords no keywords
Compiled shader: Mobile/VertexLit, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Nature/Terrain/Diffuse, pass: ShadowCaster, stage: all, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Nature/Terrain/Diffuse, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Nature/Terrain/Standard, pass: ShadowCaster, stage: all, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Nature/Terrain/Standard, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/BackgroundUnlit, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/BlobShadow, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/BlobShadow, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/CaveMashrooms_IllumCutout, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/CaveMashrooms_IllumCutout, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: Oleg/CaveMashrooms_IllumCutout, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/CaveMashrooms_IllumCutout, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: Oleg/CaveMashrooms_IllumCutout, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/CaveMashrooms_IllumCutout, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords FOG_EXP POINT
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords FOG_EXP2 POINT
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords FOG_EXP2 POINT SHADOWS_CUBE
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords FOG_EXP2 SPOT
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords POINT
Compiled shader: Oleg/Caves, pass: FORWARD, stage: all, keywords SPOT
Compiled shader: Oleg/Caves, pass: ShadowCaster, stage: all, keywords SHADOWS_CUBE
Compiled shader: Oleg/Caves, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords FOG_EXP2 SPOT
Compiled shader: Oleg/CavesEntrance, pass: FORWARD, stage: all, keywords SPOT
Compiled shader: Oleg/CavesEntrance, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/Characters_Body, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/Characters_Body, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN VERTEXLIGHT_ON
Compiled shader: Oleg/Characters_Body, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/Characters_Body, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: Oleg/Characters_Body, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/Characters_Body, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/Characters_Body, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/Characters_Body, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: Oleg/Characters_Body, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/Cutout_VertexColor_2Sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/Cutout_VertexColor_2Sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH LOD_FADE_CROSSFADE
Compiled shader: Oleg/Cutout_VertexColor_2Sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH UNITY_PASS_SHADOWCASTER
Compiled shader: Oleg/Cutout_VertexColor_2Sided_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/Cutout_VertexColor_2Sided_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/Cutout_VertexColor_2Sided_Simple, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH UNITY_PASS_SHADOWCASTER
Compiled shader: Oleg/Dissolving, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/Dissolving, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/Dissolving, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/Dissolving, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/Dissolving, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/ExitFromLocation, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/ExitFromLocation, pass: FORWARD, stage: all, keywords POINT
Compiled shader: Oleg/ExitFromLocation, pass: FORWARD, stage: all, keywords SPOT
Compiled shader: Oleg/ExitFromLocation, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/EyeShadow, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/EyeShadow, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/EyeShadow, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/FarSmokeStatic, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/FarSmokeStatic, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/FarSmokeStatic, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/FarSmokeStatic, pass: ShadowCaster, stage: all, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Oleg/FarSmokeStatic, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/FernLeaf, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/FernLeaf, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/FernLeaf, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/GM_Ways, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/GlobalMap_Colored_Appearence, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/GlobalMap_Colored_Appearence, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/GlobalMap_Colored_Appearence, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH UNITY_PASS_SHADOWCASTER
Compiled shader: Oleg/MultiplyColor, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/OakTree_Billboards, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/OakTree_Billboards, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/OakTree_Billboards, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/OakTree_Billboards, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: Oleg/OakTree_Billboards_TintColor, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/OakTree_Billboards_TintColor, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/OakTree_Billboards_TintColor, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/OakTree_Billboards_TintColor, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH VERTEXLIGHT_ON
